subj,stage,region,n_voxels,pval,rval
30,late_practice,BA20R,359,0.12584005836026294,0.09040657086551943
30,late_practice,BA37L,308,0.6872842698100513,0.023820315781646187
30,late_practice,BA37R,302,0.4529032910164829,0.044399840495229013
30,late_practice,BA38L,304,0.16932907897365018,0.08120445675281393
30,late_practice,BA38R,302,0.42848090342090817,0.04683497317815695
31,early_practice,BA17L,157,4.27734910735846e-20,0.5055976925022663
31,early_practice,BA17R,151,5.953184233869532e-25,0.5578150476701325
31,early_practice,BA18L,724,2.7478524373419897e-58,0.7722551778338365
31,early_practice,BA18R,717,2.389599974740417e-53,0.75036823951964
31,early_practice,BA19L,761,2.5005265860925276e-20,0.5083218081421829
31,early_practice,BA19R,800,3.161424656726712e-30,0.6057159920299384
31,early_practice,BA20L,360,0.04675966353172231,0.117277151903288
31,early_practice,BA20R,359,0.14289250536762219,0.08654641314723135
31,early_practice,BA37L,308,0.9764364611003805,0.001748074258022092
31,early_practice,BA37R,302,0.0765498943164349,0.10452953147764639
31,early_practice,BA38L,304,0.7719807160920884,0.017149070431695758
31,early_practice,BA38R,302,0.3192826462720725,0.05889108770629915
31,late_practice,BA17L,157,9.247026273066256e-34,0.6338179147787341
31,late_practice,BA17R,151,2.040315946764122e-29,0.5988592674081848
31,late_practice,BA18L,724,5.069410233088313e-77,0.8374464999425903
31,late_practice,BA18R,717,1.35607062313741e-71,0.8210265843177404
31,late_practice,BA19L,761,4.551543964721089e-28,0.5870635446903899
31,late_practice,BA19R,800,3.8644891709253284e-35,0.6440480942729288
31,late_practice,BA20L,360,0.0889507858744039,0.1004131626874736
31,late_practice,BA20R,359,0.936247753227513,-0.0047338283633757625
31,late_practice,BA37L,308,0.282691224339659,0.06351563153403943
31,late_practice,BA37R,302,0.7823388175354935,-0.016349525361166902
31,late_practice,BA38L,304,0.002217600910153761,0.17959158178888734
31,late_practice,BA38R,302,0.12418268865981505,0.09080287181990634
32,early_practice,BA17L,157,2.7351315582759547e-08,0.32021398571040205
32,early_practice,BA17R,151,1.4178721666191351e-05,0.25273461440919054
